Sirius x=-1.61, y=8.08, z=-2.47
Teegarden's-star x=8.72, y=8.20, z=3.63
Altair x=10.39, y=-5.05, z=18.97
Pollux x=-5.64, y=2.63, z=0.24
Capella x=11.03, y=7.13, z=-6.14
HR7162 x=10.81, y=21.83, z=-21.24

Sirius x=-1.6105373051673995, y=8.078294595528495, z=-2.471300470707523
Teegarden's-star x=8.719179782016525, y=8.20218531938442, z=3.6332024324759242
Altair x=10.38508849044999, y=-5.0539322997959895, z=18.970814567503474
Pollux x=-5.642135720000571, y=2.6309710945861338, z=0.23915605061524997
Capella x=11.033950800618916, y=7.131355416469923, z=-6.135609150973217
HR7162 x=10.81286607422821, y=21.830190329129014, z=-21.239282413838907

